repo,day,hour,commits
microsoft/vscode,0,0,19
microsoft/vscode,0,1,23
microsoft/vscode,0,2,13
microsoft/vscode,0,3,9
microsoft/vscode,0,4,9
microsoft/vscode,0,5,19
microsoft/vscode,0,6,15
microsoft/vscode,0,7,27
microsoft/vscode,0,8,22
microsoft/vscode,0,9,22
microsoft/vscode,0,10,37
microsoft/vscode,0,11,32
microsoft/vscode,0,12,42
microsoft/vscode,0,13,26
microsoft/vscode,0,14,37
microsoft/vscode,0,15,30
microsoft/vscode,0,16,34
microsoft/vscode,0,17,61
microsoft/vscode,0,18,37
microsoft/vscode,0,19,37
microsoft/vscode,0,20,49
microsoft/vscode,0,21,58
microsoft/vscode,0,22,44
microsoft/vscode,0,23,36
microsoft/vscode,1,0,24
microsoft/vscode,1,1,21
microsoft/vscode,1,2,22
microsoft/vscode,1,3,15
microsoft/vscode,1,4,24
microsoft/vscode,1,5,30
microsoft/vscode,1,6,50
microsoft/vscode,1,7,54
microsoft/vscode,1,8,109
microsoft/vscode,1,9,170
microsoft/vscode,1,10,245
microsoft/vscode,1,11,304
microsoft/vscode,1,12,314
microsoft/vscode,1,13,237
microsoft/vscode,1,14,225
microsoft/vscode,1,15,375
microsoft/vscode,1,16,330
microsoft/vscode,1,17,266
microsoft/vscode,1,18,201
microsoft/vscode,1,19,138
microsoft/vscode,1,20,118
microsoft/vscode,1,21,105
microsoft/vscode,1,22,94
microsoft/vscode,1,23,84
microsoft/vscode,2,0,46
microsoft/vscode,2,1,33
microsoft/vscode,2,2,27
microsoft/vscode,2,3,21
microsoft/vscode,2,4,21
microsoft/vscode,2,5,22
microsoft/vscode,2,6,49
microsoft/vscode,2,7,62
microsoft/vscode,2,8,83
microsoft/vscode,2,9,179
microsoft/vscode,2,10,253
microsoft/vscode,2,11,345
microsoft/vscode,2,12,266
microsoft/vscode,2,13,207
microsoft/vscode,2,14,272
microsoft/vscode,2,15,313
microsoft/vscode,2,16,368
microsoft/vscode,2,17,309
microsoft/vscode,2,18,191
microsoft/vscode,2,19,147
microsoft/vscode,2,20,147
microsoft/vscode,2,21,127
microsoft/vscode,2,22,108
microsoft/vscode,2,23,100
microsoft/vscode,3,0,62
microsoft/vscode,3,1,34
microsoft/vscode,3,2,22
microsoft/vscode,3,3,27
microsoft/vscode,3,4,30
microsoft/vscode,3,5,46
